id;actsArr;stageID;id-name;name;date;start_time;end_time;type;status;tags;description;ticket;url
426;127;2;;;31.05.2026;31.05.2026 17:30;31.05.2026 18:00;Performance;;;This Maag auf der B[ue]hne Glockenhut;;
427;147;3;;;31.05.2026;31.05.2026 13:00;31.05.2026 13:30;Performance;;;Sportensemble auf der B[ue]hne Zylinder;;
428;117;3;;;31.05.2026;31.05.2026 14:00;31.05.2026 14:30;Performance;;;Kuutenkidou auf der B[ue]hne Zylinder;;
429;120;3;;;31.05.2026;31.05.2026 15:00;31.05.2026 15:30;Performance;;;The Funky Monkeys auf der B[ue]hne Zylinder;;
430;118;3;;;31.05.2026;31.05.2026 16:00;31.05.2026 16:30;Performance;;;Duo Masawa auf der B[ue]hne Zylinder;;
431;112;3;;;31.05.2026;31.05.2026 17:00;31.05.2026 17:30;Performance;;;Tridiculous auf der B[ue]hne Zylinder;;
432;111;4;;;31.05.2026;31.05.2026 13:30;31.05.2026 14:00;Performance;;;Marc Freudenberg auf der B[ue]hne Sombrero;;
433;122;4;;;31.05.2026;31.05.2026 14:00;31.05.2026 14:30;Performance;;;Circus unARTiq auf der B[ue]hne Sombrero;;
434;135;4;;;31.05.2026;31.05.2026 14:30;31.05.2026 15:00;Musik;;;Crepes Sucette auf der B[ue]hne Sombrero;;
435;117;4;;;31.05.2026;31.05.2026 15:30;31.05.2026 16:00;Performance;;;Kuutenkidou auf der B[ue]hne Sombrero;;
436;122;4;;;31.05.2026;31.05.2026 16:30;31.05.2026 17:00;Performance;;;Circus unARTiq auf der B[ue]hne Sombrero;;
437;139;4;;;31.05.2026;31.05.2026 17:30;31.05.2026 18:00;Musik;;;sleepwalker's station auf der B[ue]hne Sombrero;;
438;148;5;;;31.05.2026;31.05.2026 13:00;31.05.2026 13:30;Musik;;;Almost Charlie auf der B[ue]hne Porkpie;;
439;139;5;;;31.05.2026;31.05.2026 14:00;31.05.2026 14:30;Musik;;;sleepwalker's station auf der B[ue]hne Porkpie;;
440;140;5;;;31.05.2026;31.05.2026 15:00;31.05.2026 15:30;Musik;;;teget auf der B[ue]hne Porkpie;;
441;135;5;;;31.05.2026;31.05.2026 16:00;31.05.2026 16:30;Musik;;;Crepes Sucette auf der B[ue]hne Porkpie;;
442;148;5;;;31.05.2026;31.05.2026 17:00;31.05.2026 17:30;Musik;;;Almost Charlie auf der B[ue]hne Porkpie;;
443;115;6;;;31.05.2026;31.05.2026 14:00;31.05.2026 14:30;Performance;;;Satya Bella auf der B[ue]hne Cowboyhut;;
444;112;6;;;31.05.2026;31.05.2026 15:00;31.05.2026 15:30;Performance;;;Tridiculous auf der B[ue]hne Cowboyhut;;
445;123;6;;;31.05.2026;31.05.2026 16:00;31.05.2026 16:30;Performance;;;Duo flexoncirc auf der B[ue]hne Cowboyhut;;
446;120;6;;;31.05.2026;31.05.2026 17:00;31.05.2026 17:30;Performance;;;The Funky Monkeys auf der B[ue]hne Cowboyhut;;
447;120;7;;;31.05.2026;31.05.2026 13:30;31.05.2026 14:00;Performance;;;The Funky Monkeys auf der B[ue]hne Strohhut;;
448;118;7;;;31.05.2026;31.05.2026 14:30;31.05.2026 15:00;Performance;;;Duo Masawa auf der B[ue]hne Strohhut;;
449;127;7;;;31.05.2026;31.05.2026 15:30;31.05.2026 16:00;Performance;;;This Maag auf der B[ue]hne Strohhut;;
450;116;7;;;31.05.2026;31.05.2026 16:30;31.05.2026 17:00;Performance;;;Marcos Luis Masetti auf der B[ue]hne Strohhut;;
451;114;7;;;31.05.2026;31.05.2026 17:30;31.05.2026 18:00;Performance;;;Duo Lolly Pop auf der B[ue]hne Strohhut;;
452;128;8;;;31.05.2026;31.05.2026 14:00;31.05.2026 14:30;Performance;;;Mika und Elena auf der B[ue]hne Zauberhut;;
453;113;8;;;31.05.2026;31.05.2026 15:00;31.05.2026 15:30;Performance;;;Anna Ki auf der B[ue]hne Zauberhut;;
454;115;8;;;31.05.2026;31.05.2026 16:00;31.05.2026 16:30;Performance;;;Satya Bella auf der B[ue]hne Zauberhut;;
455;128;8;;;31.05.2026;31.05.2026 17:00;31.05.2026 17:30;Performance;;;Mika und Elena auf der B[ue]hne Zauberhut;;
456;129;9;;;31.05.2026;31.05.2026 13:30;31.05.2026 14:00;Performance;;;Noah Chorny auf der Inneren Klosterstra[sz]e;;
457;129;9;;;31.05.2026;31.05.2026 15:30;31.05.2026 16:00;Performance;;;Noah Chorny auf der Inneren Klosterstra[sz]e;;
458;129;9;;;31.05.2026;31.05.2026 17:30;31.05.2026 18:00;Performance;;;Noah Chorny auf der Inneren Klosterstra[sz]e;;
459;130;9;;;31.05.2026;31.05.2026 13:00;31.05.2026 13:30;Walkact;;;Superheroes auf der Inneren Klosterstra[sz]e;;
460;130;9;;;31.05.2026;31.05.2026 15:00;31.05.2026 15:30;Walkact;;;Superheroes auf der Inneren Klosterstra[sz]e;;
461;130;9;;;31.05.2026;31.05.2026 17:00;31.05.2026 17:30;Walkact;;;Superheroes auf der Inneren Klosterstra[sz]e;;
462;131;10;;;31.05.2026;31.05.2026 14:00;31.05.2026 18:00;Performance;;;Toc de Fusta auf dem D[ue][sz]eldorfer Platz;;
463;132;10;;;31.05.2026;31.05.2026 13:00;31.05.2026 18:00;spezial;;;Siebdruck mit Spangeltangel auf dem D[ue][sz]eldorfer Platz;;
464;133;10;;;31.05.2026;31.05.2026 13:00;31.05.2026 13:30;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
465;133;10;;;31.05.2026;31.05.2026 15:30;31.05.2026 16:00;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
466;133;10;;;31.05.2026;31.05.2026 17:00;31.05.2026 17:30;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
